,adult,backdrop_path,genre_ids,id,origin_country,original_language,original_name,overview,popularity,poster_path,first_air_date,softcore,name,vote_average,vote_count
114,False,/xrzle63zw2MduVGmTFeKNXKqUla.jpg,"[35, 18]",297640,['KR'],ko,은밀한 감사,"A romantic comedy about Joo In-ah, a charismatic audit department head with a secret, and Noh Ki-joon, the department's ace who is suddenly demoted to deal with the company's scandals.",11.6671,/5dgTRxtP5g07RSH5LEOl367Fuwi.jpg,2026-04-25,False,Filing for Love,8.078,32
115,False,/4r7scgI5aUrShN0YzriAatWd15e.jpg,[18],129478,['KR'],ko,연모,"When the crown prince is killed, his twin sister assumes the throne while trying to keep her identity and affection for her first love a royal secret.",11.6214,/2Qim2grFzfNJ4h3QSTzxi8CsKdG.jpg,2021-10-11,False,The King's Affection,8.09,300
116,False,/sjOTFlGapgXFjwV3LmD9eHZEp3d.jpg,"[35, 10765, 18]",281016,['KR'],ko,월간남친,Seo Mi-rae is worn out by work. Love? It's the last thing on her mind. But a virtual dating service sparks feelings — and maybe a real shot at romance.,11.6183,/1WSuH8eK44KDavNggmWhKS5zUCF.jpg,2026-03-06,False,Boyfriend on Demand,8.375,148
117,False,/icy4p7Nb33UU2S5eHvlBcE0Dvmi.jpg,"[18, 10765]",218230,['KR'],ko,"이재, 곧 죽습니다","At the brink of going to hell, Yee-jae must cycle through twelve separate lives and twelve separate deaths in this reincarnation drama.",11.6148,/ecM5MY9g2mF6x5SrB2QWOYkcH98.jpg,2023-12-15,False,Death's Game,8.4,666
118,False,/2kmVjjuAJqx7SQwMLHgkWCCHVSi.jpg,"[80, 18, 9648, 10759]",99480,['KR'],ko,모범형사,"A drama about the race between people who want to get closer to the truth and those who want to cover it up. Jang Seung Jo will take on the role of Oh Ji Hyuk, an elite detective of nine years who does not share his feelings with others due to pain he experienced when he was young. He is not swayed by money and power, even with the huge wealth he inherited from his uncle.",11.6142,/oj9zTCRn8tfuXTcqa0UbOCO2DZX.jpg,2020-07-06,False,The Good Detective,7.214,42
119,False,/zumJNuQP60nMgfZyyJbRuGlIFXI.jpg,[18],83941,['KR'],ko,남자친구,"Following a chance encounter overseas, a woman with much to lose and a man with little to his name meet again as employer and employee.",11.5745,/6jACbQPR1GZq1wZ93uS9wOMYmKs.jpg,2018-11-28,False,Encounter,7.81,79
120,False,/hhLOAhHCneP6nyDKelySKLsBlqW.jpg,"[35, 18, 10765]",273307,['KR'],ko,사장님의 식단표,"The R-rated web novel author, Nam Ja-yeon finds herself magically swapped with the female protagonist of her own novel! An unpredictable romance fantasy unfolds between the forever-alone author and the male lead of her romance novel, Kang Ha-jun.",11.5544,/c8l3HvnkmpLnFrhvyHOgyacvHSn.jpg,2024-10-03,False,Spice Up Our Love,6.981,52
121,False,/6gyJwBbgFD0MYap1AFWQKOkve6D.jpg,"[35, 18, 10765, 80]",203164,['KR'],ko,힘쎈여자 강남순,"Gifted with superhuman strength, a young woman returns to Korea to find her birth family — only to be entangled in a drug case that could test her power.",11.5343,/rjkHORZvB5bnz7kH1PufFCKsX4I.jpg,2023-10-07,False,Strong Girl Nam-soon,7.7,154
122,False,/8l1BN0IIjHmRyW0oDfUfs3F6F4N.jpg,"[80, 35, 10759, 18]",231280,['KR'],ko,굿보이,"Olympic medalists join the police force through a special recruitment program, trading medals for badges as they tackle violent crimes and injustices with their athletic skills.",11.5282,/59MAdHaHepsz3uDCU1LyoNQcLlT.jpg,2025-05-31,False,Good Boy,8.594,192
123,False,/93KsJLWcGwpFtjfzQ3gOa8GB3bP.jpg,"[35, 10759, 18]",68814,['KR'],ko,힘쎈여자 도봉순,"Born with supernatural strength, Bong-soon fights evil and procures justice while getting tangled in a love triangle with her CEO boss and cop crush.",11.4899,/sPdS6oUdXfBNGKROE5RY5s5laqx.jpg,2017-02-24,False,Strong Girl Bong-soon,8.149,326
